word,count
ilişkin,241
şubat,62
tarihli,59
konut,57
edilen,43
inşa,41
mahallesi,39
toki,39
bağlı,38
ilçesine,37
ilçesinde,36
dönüşüm,32
konutlara,32
depremler,31
depreme,29
hatay,28
sonrasında,26
kentsel,26
yapılan,25
depremlerden,23
yürütülen,23
tarafından,22
yaşanan,22
yapılması,21
deprem,20
akıbetine,18
kapsamında,18
alınan,18
talebine,17
karşı,17
planlanan,17
önlemlere,17
ilinde,16
olası,16
bulunan,16
stanbul,15
şanlıurfa,15
etkilenen,14
sorunlara,13
konutlarında,12
yapı,12
kahramanmaraş,12
ilgili,12
sosyal,12
projesi,11
projesinin,11
konutlarının,11
yıkılan,10
riskli,10
adıyaman,10
ilçesindeki,9
sonrası,9
iddialara,9
zmir,9
illerde,9
sonra,9
dayanıklılığına,9
kocaeli,8
iddiasına,8
diyarbakır,8
afad,7
projesine,7
çalışmalara,7
toplu,7
depremlerde,7
malatya,7
yaşayan,7
sahipliği,7
ndeki,7
konutların,7
yerinde,6
doğa,6
gerçekleştirilen,6
alan,6
olduğu,6
sorununa,6
binaların,6
teslim,6
sayısına,5
bazı,5
bingöl,5
meydana,5
konteyner,5
ilan,5
eyyübiye,5
çalışmalarına,5
gelen,5
hızlandırılması,5
kamu,5
antalya,5
menemen,5
sürecinin,5
kentlerde,5
ödeme,5
emlak,5
mağduriyete,5
aydın,4
vatandaşlar,4
kalıcı,4
ilindeki,4
tekirdağ,4
binalarının,4
hasar,4
başlatılan,4
köyünde,4
tarihinde,4
faaliyetlerine,4
karşın,4
burdur,4
tespit,4
yapısal,4
projelerinin,4
kahta,4
sebebiyle,4
yeniden,4
mersin,4
daki,4
yapıların,4
nedeniyle,4
deki,4
sıraca,3
durumuna,3
karaköprü,3
alana,3
kredi,3
projelerine,3
planına,3
edilmesi,3
yönelik,3
mağduriyetine,3
verilere,3
eskişehir,3
altyapı,3
bağlar,3
edileceği,3
gaziantep,3
gören,3
sorunlarına,3
konutlarda,3
afet,3
ankara,3
yeri,3
binalara,3
rezerv,3
bina,3
artışa,3
sahiplerinin,3
denetim,3
merkezli,3
yalova,3
skenderun,3
okulların,3
kişilerin,3
verilen,3
vatandaşlara,3
hibe,3
antakya,3
genelinde,3
alanlara,3
projesinde,3
merkez,3
türkiye,2
kanal,2
tebligat,2
arazilerine,2
kurası,2
konyaaltı,2
toplanan,2
getirilmeyen,2
karabağlar,2
numune,2
elbistan,2
kandıra,2
dayanıklılığıyla,2
ettiği,2
akdurak,2
yıkım,2
roman,2
konutlarındaki,2
fatih,2
amacıyla,2
teknik,2
depremlerin,2
bölgelere,2
durumda,2
vatandaşın,2
hakkında,2
uygun,2
sebep,2
hale,2
güçlendirilmesine,2
raporu,2
balıkesir,2
raporlarına,2
yapımında,2
gecikmeye,2
sahiplerine,2
dair,2
esentepe,2
dayanıklılıklarına,2
neden,2
projesiyle,2
bölgelerinde,2
hassa,2
bulunduğu,2
çekilmesine,2
dayanıklı,2
konutları,2
çalışmalarının,2
doğanşehir,2
konutlar,2
milli,2
hazır,2
suruç,2
kişilere,2
akçadağ,2
evim,2
oturuma,2
uygulamalarına,2
devam,2
eğitim,2
çorlu,2
projeleriyle,2
yenişehir,2
gölbaşı,2
zarar,2
verilmesine,2
riskine,2
bakanlığın,2
bölgesinde,2
çevresel,2
inşaat,2
bakanlık,2
yeni,2
satışlarına,2
kira,2
alanı,2
satışına,2
satılan,2
desteğinin,2
hıdırağa,2
mağdur,2
tesliminde,2
gümüşhane,2
açılan,2
muğla,2
riski,2
afetlere,2
uyruklu,2
aşık,2
artırılması,2
sürecinde,2
güvenliğiyle,2
şehirler,2
yabancı,2
taşınmazın,2
bakanlığına,2
klime,2
elazığ,2
şerefoğlu,1
oluşturulması,1
yılı,1
şekilde,1
istihdam,1
inşaatlarına,1
firmanın,1
teslimi,1
aktif,1
siverek,1
edilmediği,1
depremzedeye,1
çeşme,1
kiralarında,1
para,1
zorunluluğu,1
yılda,1
belirtilen,1
iddia,1
kooperatifinin,1
akçakale,1
davalarına,1
geçtiği,1
kullanılıp,1
illerinde,1
büyük,1
eylem,1
menteşe,1
viranşehir,1
ulusal,1
alanları,1
bolu,1
etap,1
tarihi,1
yaşadığı,1
efeler,1
anahtar,1
ötençay,1
kesilen,1
yerine,1
düzce,1
yana,1
karşılığında,1
düzenlenen,1
şehit,1
konutunun,1
zemin,1
taşınmazlar,1
belen,1
mevcut,1
batı,1
almalarına,1
satışlarında,1
peşin,1
onikişubat,1
uzatılması,1
birecik,1
kura,1
getirilmesi,1
olumsuz,1
bakımından,1
merkezinde,1
yıllarında,1
önlenmesi,1
villaların,1
fiyatlarında,1
suriyeli,1
çalışmaları,1
kurulacağı,1
karşılaşılan,1
indirimi,1
batman,1
baraj,1
yoluna,1
işçilerin,1
ücretlerini,1
akbay,1
tazminat,1
bağışların,1
depremzede,1
adana,1
projeleri,1
çekmeköy,1
necatibey,1
toplam,1
yüreğir,1
eksikliklerine,1
olayları,1
başlattığı,1
kültür,1
kusuru,1
alanda,1
tespitlere,1
konalga,1
kalan,1
çorum,1
altyapısı,1
ilçelerinde,1
bölgelerin,1
kaynaklı,1
faaliyetlerinin,1
eylül,1
yıkılmasına,1
dilovası,1
mülkiyet,1
yardımı,1
ayrılan,1
binalarda,1
devlet,1
